CHEMICAL NAME,CAS No.,RTECS No.
α-Aminopyridine,504-29-0,US1575000
β-Aminoethyl alcohol,141-43-5,KJ5775000
"1,3-bis(Aminomethyl)benzene",1477-55-0,PF8970000
1-Acetoxyethylene,108-05-4,AK0875000
"1-Allyloxy-2,3-epoxypropane",106-92-3,RR0875000
1-Aminobutane,109-73-9,EO2975000
1-Aminonaphthalene,134-32-7,QM1400000
1-Aminophenylmethane,108-44-1,XU2800000
2-AAF,53-96-3,AB9450000
2-Acetaminofluorene,53-96-3,AB9450000
2-Acetoxybenzoic acid,50-78-2,VO0700000
2-Acetyl propane,563-80-4,EL9100000
2-Acetylaminofluorene*,53-96-3,AB9450000
"2-Amino-1,3,4-triazole",61-82-5,XZ3850000
2-Aminoethanol,141-43-5,KJ5775000
2-Aminonaphthalene,91-59-8,QM2100000
2-Aminopropane,75-31-0,NT8400000
2-Aminopyridine*,504-29-0,US1575000
2-Aminotoluene,95-53-4,XU2975000
2-Anilinonaphthalene,135-88-6,QM4550000
2-Anisidine,90-04-0,BZ5410000
3-(α-Acetonyl)-benzyl-4-hydroxycoumarin,81-81-2,GN4550000
"3-Amino-1,2,4-triazole",61-82-5,XZ3850000
3-Amino-1-methylbenzene,108-44-1,XU2800000
3-Aminotriazole,61-82-5,XZ3850000
"4-Amino-3,5,6-trichloro-2-picolinic acid",1918-02-1,TJ7525000
"4-Amino-3,5,6-trichloropicolinic acid",1918-02-1,TJ7525000
"4-Amino-6-(1,1-dimethylethyl)-3-(methylthio)-1,2,4-triazin-5(4H)-one",21087-64-9,XZ2990000
4-Aminoaniline,106-50-3,SS8050000
4-Aminobiphenyl,92-67-1,DU8925000
4-Aminodiphenyl*,92-67-1,DU8925000
4-Aminotoluene,106-49-0,XU3150000
4-Anisidine,104-94-9,BZ5450000
AA,107-18-6,BA5075000
AAF,53-96-3,AB9450000
Abate®,3383-96-8,TF6890000
Acetaldehyde*,75-07-0,AB1925000
Acetic acid*,64-19-7,AF1225000
Acetic acid (aqueous),64-19-7,AF1225000
Acetic acid anhydride,108-24-7,AK1925000
Acetic aldehyde,75-07-0,AB1925000
Acetic anhydride*,108-24-7,AK1925000
Acetic ester,141-78-6,AH5425000
Acetic ether,141-78-6,AH5425000
Acetic oxide,108-24-7,AK1925000
Acetone*,67-64-1,AL3150000
Acetone cyanohydrin*,75-86-5,OD9275000
Acetonitrile*,75-05-8,AL7700000
Acetyl mercaptan,68-11-1,AI5950000
Acetyl oxide,108-24-7,AK1925000
Acetylene*,74-86-2,AO9600000
Acetylene black,1333-86-4,FF5800000
Acetylene dichloride,540-59-0,KV9360000
Acetylene tetrabromide*,79-27-6,KI8225000
Acetylene tetrachloride,79-34-5,KI8575000
Acetylsalicylic acid*,50-78-2,VO0700000
Acheson graphite,7440-44-0 (synthetic),FF5250100 (synthetic)
Acraldehyde,107-02-8,AS1050000
Acridine,65996-93-2,GF8655000
Acroleic acid,79-10-7,AS4375000
Acrolein*,107-02-8,AS1050000
Acrylaldehyde,107-02-8,AS1050000
Acrylamide*,79-06-1,AS3325000
Acrylamide monomer,79-06-1,AS3325000
Acrylic acid*,79-10-7,AS4375000
Acrylic aldehyde,107-02-8,AS1050000
Acrylic amide,79-06-1,AS3325000
Acrylonitrile*,107-13-1,AT5250000
Acrylonitrile monomer,107-13-1,AT5250000
Actinolite,1332-21-4,CI6475000
Actinolite asbestos,1332-21-4,CI6475000
Adiponitrile*,111-69-3,AV2625000
AGE,106-92-3,RR0875000
Alcohol,64-17-5,KQ6300000
Aldrin*,309-00-2,IO2100000
Aliphatic petroleum naphtha,8002-05-9,SE7449000
Allyl alcohol*,107-18-6,BA5075000
Allyl aldehyde,107-02-8,AS1050000
Allyl chloride*,107-05-1,UC7350000
Allyl glycidyl ether*,106-92-3,RR0875000
Allyl propyl disulfide*,2179-59-1,JO0350000
Allyl trichloride,96-18-4,TZ9275000
Allylene,74-99-7,UK4250000
Allylic alcohol,107-18-6,BA5075000
Alumina,1344-28-1,BD1200000
Aluminium,7429-90-5,BD0330000
Aluminum*,7429-90-5,BD0330000
"Aluminum (pyro powders and welding fumes, as Al)*",,
"Aluminum (soluble salts and alkyls, as Al)*",,
Aluminum metal,7429-90-5,BD0330000
Aluminum oxide [Emery],1302-74-5 (corundum),GN0231000 (corundum)
Aluminum oxide [a-Alumina],1344-28-1,BD1200000
Aluminum powder,7429-90-5,BD0330000
Aluminum trioxide [Emery],1302-74-5 (corundum),GN0231000 (corundum)
Aluminum trioxide [a-Alumina],1344-28-1,BD1200000
Amidocyanogen,420-04-2,GS5950000
Aminobenzene,62-53-3,BW6650000
Aminocaproic lactam,105-60-2,CM3675000
Aminocyclohexane,108-91-8,GX0700000
Aminodimethylbenzene,1300-73-8,ZE8575000
Aminoethane,75-04-7,KH2100000
Aminoethylene,151-56-4,KX5075000
Aminohexahydrobenzene,108-91-8,GX0700000
Aminomethane,74-89-5,PF6300000
Aminotriazole,61-82-5,XZ3850000
Aminoxylene,1300-73-8,ZE8575000
Amitrole*,61-82-5,XZ3850000
Ammate herbicide,7773-06-0,WO6125000
Ammonia*,7664-41-7,BO0875000
Ammonium amidosulfonate,7773-06-0,WO6125000
Ammonium chloride,12125-02-9,BP4550000
Ammonium chloride fume*,12125-02-9,BP4550000
Ammonium muriate fume,12125-02-9,BP4550000
Ammonium sulfamate*,7773-06-0,WO6125000
Amosite (cummingtonite-grunerite),1332-21-4,CI6475000
AMS [Ammonium sulfamate],7773-06-0,WO6125000
AMS [a-Methyl styrene],98-83-9,WL5075300
Amyl acetic ester,628-63-7,AJ1925000
Amyl acetic ether,628-63-7,AJ1925000
Amyl aldehyde,110-62-3,YV3600000
Amyl ethyl ketone,541-85-5,MJ7350000
Amyl hydrosulfide,110-66-7,SA3150000
Amyl mercaptan,110-66-7,SA3150000
Amyl methyl ketone,110-43-0,MJ5075000
Amyl sulfhydrate,110-66-7,SA3150000
AN,107-13-1,AT5250000
Anhydrous ammonia,7664-41-7,BO0875000
Anhydrous borax,1330-43-4,ED4588000
Anhydrous calcium sulfate,7778-18-9,WS6920000
Anhydrous gypsum,7778-18-9,WS6920000
Anhydrous hydrogen bromide,10035-10-6,MW3850000
Anhydrous hydrogen chloride,7647-01-0,MW4025000
Anhydrous hydrogen fluoride,7664-39-3,MW7875000
Anhydrous sulfate of lime,7778-18-9,WS6920000
Aniline (and homologs)*,62-53-3,BW6650000
Aniline oil,62-53-3,BW6650000
Anilinobenzene,122-39-4,JJ7800000
Anol,108-93-0,GV7875000
Anone,108-94-1,GW1050000
Antabuse®,97-77-8,JO1225000
Anthophyllite,1332-21-4,CI6475000
Anthophyllite asbestos,1332-21-4,CI6475000
Anthracene,65996-93-2,GF8655000
Anthracite coal dust,,GF8281000
Antimony*,7440-36-0,CC4025000
Antimony hydride,7803-52-3,WJ0700000
Antimony metal,7440-36-0,CC4025000
Antimony powder,7440-36-0,CC4025000
Antimony trihydride,7803-52-3,WJ0700000
ANTU*,86-88-4,YT9275000
Aprocarb®,114-26-1,FC3150000
Aqua ammonia,7664-41-7,BO0875000
Aqua fortis,7697-37-2,QU5775000
Aqueous acrylic acid,79-10-7,AS4375000
Aqueous ammonia,7664-41-7,BO0875000
Aqueous hydrogen bromide,10035-10-6,MW3850000
Aqueous hydrogen chloride,7647-01-0,MW4025000
Aqueous hydrogen fluoride,7664-39-3,MW7875000
Aroclor® 1242,53469-21-9,TQ1356000
Aroclor® 1254,11097-69-1,TQ1360000
Arsenia,7440-38-2 (metal),CG0525000 (metal)
"Arsenic (inorganic compounds, as As)*",7440-38-2 (metal),CG0525000 (metal)
"Arsenic (organic compounds, as As)*",,
Arsenic hydride,7784-42-1,CG6475000
Arsenic metal,7440-38-2 (metal),CG0525000 (metal)
Arsenic trihydride,7784-42-1,CG6475000
Arseniuretted hydrogen,7784-42-1,CG6475000
Arsenous hydride,7784-42-1,CG6475000
Arsine*,7784-42-1,CG6475000
Artificial barite,7727-43-7,CR0600000
Artificial graphite,7440-44-0 (synthetic),FF5250100 (synthetic)
Asbestos*,1332-21-4,CI6475000
Asphalt fumes*,8052-42-4,CI9900000
Asphaltum,8052-42-4,CI9900000
Aspirin,50-78-2,VO0700000
Asymmetrical dichloroethane,75-34-3,KI0175000
Asymmetrical trimethylbenzene,95-63-6,DC3325000
ATCP,1918-02-1,TJ7525000
Atrazine*,1912-24-9,XY5600000
Aurum paradoxum,13494-80-9,WY2625000
Azabenzene,110-86-1,UR8400000
Azide,26628-22-8,VY8050000
Azimethylene,334-88-3,PA7000000
Azine,110-86-1,UR8400000
Azinphos-methyl*,86-50-0,TE1925000
Azirane,151-56-4,KX5075000
Aziridine,151-56-4,KX5075000
Azium,26628-22-8,VY8050000
Azodrin®,6923-22-4,TC4375000
Azomethylene,334-88-3,PA7000000
Azophos®,298-00-0,TG0175000
bis(2-Aminoethyl)amine,111-40-0,IE1225000
cis-Acetylene dichloride,540-59-0,KV9360000
m-Aminotoluene,108-44-1,XU2800000
"N-(2-Aminoethyl)-1,2-ethanediamine",111-40-0,IE1225000
N-Acetyl-2-aminofluorene,53-96-3,AB9450000
n-Amyl acetate*,628-63-7,AJ1925000
n-Amyl methyl ketone,110-43-0,MJ5075000
o-Acetoxybenzoic acid,50-78-2,VO0700000
o-Aminotoluene,95-53-4,XU2975000
o-Anisidine*,90-04-0,BZ5410000
ortho-Aminoanisole,90-04-0,BZ5410000
p-Aminobiphenyl,92-67-1,DU8925000
p-Aminodiphenyl,92-67-1,DU8925000
p-Anisidine*,104-94-9,BZ5450000
para-Aminoanisole,104-94-9,BZ5450000
para-Aminonitrobenzene,100-01-6,BY7000000
sec-Amyl acetate*,626-38-0,AJ2100000
trans-Acetylene dichloride,540-59-0,KV9360000
a-Alumina*,1344-28-1,BD1200000
